x-axis,1,2,3
second,Volt,Volt,Volt
+9.260000E-03,+11.585937500E+00,-3.080078125E+00,+826.562524E-03
+9.265000E-03,+11.585937500E+00,-2.982421875E+00,+808.984399E-03
+9.270000E-03,+11.585937500E+00,-2.894531250E+00,+789.453149E-03
+9.275000E-03,+11.585937500E+00,-2.796875000E+00,+769.921899E-03
+9.280000E-03,+11.585937500E+00,-2.689453125E+00,+746.484399E-03
+9.285000E-03,+11.625000000E+00,-2.582031250E+00,+725.000024E-03
+9.290000E-03,+11.625000000E+00,-2.484375000E+00,+701.562524E-03
+9.295000E-03,+11.625000000E+00,-2.386718750E+00,+678.125024E-03
+9.300000E-03,+11.625000000E+00,-2.289062500E+00,+652.734399E-03
+9.305000E-03,+11.625000000E+00,-2.201171875E+00,+627.343774E-03
+9.310000E-03,+11.625000000E+00,-2.103515625E+00,+600.000024E-03
+9.315000E-03,+11.625000000E+00,-2.005859375E+00,+574.609399E-03
+9.320000E-03,+11.625000000E+00,-1.908203125E+00,+545.312524E-03
+9.325000E-03,+11.625000000E+00,-1.810546875E+00,+517.968774E-03
+9.330000E-03,+11.625000000E+00,-1.712890625E+00,+490.625024E-03
+9.335000E-03,+11.625000000E+00,-1.615234375E+00,+463.281274E-03
+9.340000E-03,+11.664062500E+00,-1.527343750E+00,+435.937524E-03
+9.345000E-03,+11.664062500E+00,-1.429687500E+00,+408.593774E-03
+9.350000E-03,+11.625000000E+00,-1.332031250E+00,+379.296899E-03
+9.355000E-03,+11.625000000E+00,-1.224609375E+00,+348.046899E-03
+9.360000E-03,+11.664062500E+00,-1.117187500E+00,+318.750024E-03
+9.365000E-03,+11.664062500E+00,-1.019531250E+00,+287.500024E-03
+9.370000E-03,+11.664062500E+00,-921.875000E-03,+256.250024E-03
+9.375000E-03,+11.625000000E+00,-833.984375E-03,+225.000024E-03
+9.380000E-03,+11.664062500E+00,-716.796875E-03,+191.796899E-03
+9.385000E-03,+11.664062500E+00,-619.140625E-03,+162.500024E-03
+9.390000E-03,+11.664062500E+00,-521.484375E-03,+129.296899E-03
+9.395000E-03,+11.664062500E+00,-433.593750E-03,+98.046899E-03
+9.400000E-03,+11.664062500E+00,-335.937500E-03,+66.796899E-03
+9.405000E-03,+11.664062500E+00,-238.281250E-03,+33.593774E-03
+9.410000E-03,+11.664062500E+00,-140.625000E-03,+2.343774E-03
+9.415000E-03,+11.664062500E+00,-33.203125E-03,-30.859351E-03
+9.420000E-03,+11.664062500E+00,+54.687500E-03,-62.109351E-03
+9.425000E-03,+11.664062500E+00,+162.109375E-03,-95.312476E-03
+9.430000E-03,+11.664062500E+00,+250.000000E-03,-128.515601E-03
+9.435000E-03,+11.664062500E+00,+337.890625E-03,-159.765601E-03
+9.440000E-03,+11.664062500E+00,+435.546875E-03,-192.968726E-03
+9.445000E-03,+11.664062500E+00,+542.968750E-03,-224.218726E-03
+9.450000E-03,+11.664062500E+00,+660.156250E-03,-255.468726E-03
+9.455000E-03,+11.664062500E+00,+748.046875E-03,-286.718726E-03
+9.460000E-03,+11.664062500E+00,+835.937500E-03,-317.968726E-03
+9.465000E-03,+11.664062500E+00,+933.593750E-03,-347.265601E-03
+9.470000E-03,+11.664062500E+00,+1.031250000E+00,-376.562476E-03
+9.475000E-03,+11.664062500E+00,+1.138671875E+00,-407.812476E-03
+9.480000E-03,+11.703125000E+00,+1.246093750E+00,-435.156226E-03
+9.485000E-03,+11.703125000E+00,+1.343750000E+00,-464.453101E-03
+9.490000E-03,+11.703125000E+00,+1.441406250E+00,-493.749976E-03
+9.495000E-03,+11.664062500E+00,+1.548828125E+00,-521.093726E-03
+9.500000E-03,+11.703125000E+00,+1.636718750E+00,-548.437476E-03
+9.505000E-03,+11.703125000E+00,+1.744140625E+00,-573.828101E-03
+9.510000E-03,+11.703125000E+00,+1.851562500E+00,-597.265601E-03
+9.515000E-03,+11.703125000E+00,+1.949218750E+00,-622.656226E-03
+9.520000E-03,+11.703125000E+00,+2.046875000E+00,-646.093726E-03
+9.525000E-03,+11.703125000E+00,+2.144531250E+00,-671.484351E-03
+9.530000E-03,+11.703125000E+00,+2.242187500E+00,-694.921851E-03
+9.535000E-03,+11.703125000E+00,+2.339843750E+00,-718.359351E-03
+9.540000E-03,+11.703125000E+00,+2.437500000E+00,-739.843726E-03
+9.545000E-03,+11.703125000E+00,+2.525390625E+00,-761.328101E-03
+9.550000E-03,+11.703125000E+00,+2.623046875E+00,-780.859351E-03
+9.555000E-03,+11.703125000E+00,+2.720703125E+00,-800.390601E-03
+9.560000E-03,+11.703125000E+00,+2.828125000E+00,-817.968726E-03
+9.565000E-03,+11.703125000E+00,+2.916015625E+00,-835.546851E-03
+9.570000E-03,+11.703125000E+00,+3.003906250E+00,-853.124976E-03
+9.575000E-03,+11.664062500E+00,+3.101562500E+00,-870.703101E-03
+9.580000E-03,+11.703125000E+00,+3.208984375E+00,-886.328101E-03
+9.585000E-03,+11.703125000E+00,+3.306640625E+00,-899.999976E-03
+9.590000E-03,+11.703125000E+00,+3.394531250E+00,-913.671851E-03
+9.595000E-03,+11.703125000E+00,+3.492187500E+00,-927.343726E-03
+9.600000E-03,+11.703125000E+00,+3.580078125E+00,-939.062476E-03
+9.605000E-03,+11.703125000E+00,+3.677734375E+00,-950.781226E-03
+9.610000E-03,+11.703125000E+00,+3.775390625E+00,-960.546851E-03
+9.615000E-03,+11.703125000E+00,+3.882812500E+00,-968.359351E-03
+9.620000E-03,+11.703125000E+00,+3.970703125E+00,-978.124976E-03
+9.625000E-03,+11.703125000E+00,+4.068359375E+00,-985.937476E-03
+9.630000E-03,+11.703125000E+00,+4.156250000E+00,-991.796851E-03
+9.635000E-03,+11.703125000E+00,+4.253906250E+00,-999.609351E-03
+9.640000E-03,+11.703125000E+00,+4.351562500E+00,-1.005468726E+00
+9.645000E-03,+11.703125000E+00,+4.439453125E+00,-1.009374976E+00
+9.650000E-03,+11.703125000E+00,+4.527343750E+00,-1.013281226E+00
+9.655000E-03,+11.703125000E+00,+4.634765625E+00,-1.019140601E+00
+9.660000E-03,+11.703125000E+00,+4.732421875E+00,-1.023046851E+00
+9.665000E-03,+11.703125000E+00,+4.820312500E+00,-1.024999976E+00
+9.670000E-03,+11.703125000E+00,+4.908203125E+00,-1.028906226E+00
+9.675000E-03,+11.703125000E+00,+5.005859375E+00,-1.030859351E+00
+9.680000E-03,-3.921875000E+00,+5.074218750E+00,-1.034765601E+00
+9.685000E-03,-12.125000000E+00,+4.986328125E+00,-1.030859351E+00
+9.690000E-03,-12.164062500E+00,+4.878906250E+00,-1.028906226E+00
+9.695000E-03,-12.164062500E+00,+4.781250000E+00,-1.023046851E+00
+9.700000E-03,-12.203125000E+00,+4.683593750E+00,-1.021093726E+00
+9.705000E-03,-12.203125000E+00,+4.576171875E+00,-1.015234351E+00
+9.710000E-03,-12.242187500E+00,+4.478515625E+00,-1.011328101E+00
