time	V(n002)
4.089944205975870e-003	-1.637870e-003
4.090585535888601e-003	-1.560324e-003
4.091199629415642e-003	-1.342718e-003
4.092031621140612e-003	-8.690719e-004
4.092808783554579e-003	-3.022622e-004
4.093428885990341e-003	2.062563e-004
4.094073558412873e-003	7.356773e-004
4.094771524906211e-003	1.252242e-003
4.095423598805465e-003	1.636423e-003
4.096031520943151e-003	1.867605e-003
4.096656488826033e-003	1.950840e-003
4.097300786141910e-003	1.867705e-003
4.097902659496913e-003	1.622317e-003
4.098732658743376e-003	1.066405e-003
4.099587998312700e-003	3.262055e-004
4.100222164690099e-003	-2.918772e-004
4.100877401708758e-003	-9.293733e-004
4.101585849915055e-003	-1.544495e-003
4.102233202121873e-003	-1.983618e-003
4.102859366744361e-003	-2.247657e-003
4.103479132231538e-003	-2.323732e-003
4.104120033968388e-003	-2.198741e-003
4.104749266500814e-003	-1.867458e-003
4.105585201155281e-003	-1.176841e-003
4.106324546711497e-003	-4.031159e-004
4.106935646801996e-003	3.109222e-004
4.107570871900974e-003	1.050743e-003
4.108276089460742e-003	1.789690e-003
4.108924437512847e-003	2.329157e-003
4.109533815855764e-003	2.654809e-003
4.110156636325748e-003	2.769272e-003
4.110799116354360e-003	2.648060e-003
4.111404170804895e-003	2.294879e-003
4.112234313994852e-003	1.502100e-003
4.113092426680286e-003	4.453490e-004
4.113726252240821e-003	-4.320514e-004
4.114380412959120e-003	-1.334210e-003
4.115092620682918e-003	-2.208829e-003
4.115737985563650e-003	-2.825137e-003
4.116371097285976e-003	-3.197317e-003
4.116989297997985e-003	-3.297439e-003
4.117628965341534e-003	-3.111251e-003
4.118264583245986e-003	-2.627525e-003
4.119101848306214e-003	-1.637040e-003
4.119825845330292e-003	-5.569997e-004
4.120433252537469e-003	4.518579e-004
4.121064582719326e-003	1.495103e-003
4.121772876669890e-003	2.547393e-003
4.122419630599882e-003	3.309615e-003
4.123029579618865e-003	3.770407e-003
4.123651112423228e-003	3.930802e-003
4.124292470506172e-003	3.757314e-003
4.124898628589147e-003	3.253747e-003
4.125728649753147e-003	2.127157e-003
4.126587771223982e-003	6.243367e-004
4.127221416006167e-003	-6.208721e-004
4.127875172163624e-003	-1.900028e-003
4.128588519005088e-003	-3.142078e-003
4.129233200531202e-003	-4.013774e-003
4.129868401703552e-003	-4.541001e-003
4.130485682200909e-003	-4.679945e-003
4.131124560885963e-003	-4.412591e-003
4.131761862308707e-003	-3.721079e-003
4.132599320780007e-003	-2.311925e-003
4.133319481345023e-003	-7.855269e-004
4.133925876291516e-003	6.445006e-004
4.134556155874315e-003	2.122649e-003
4.135265159573568e-003	3.617428e-003
4.135911466029602e-003	4.698175e-003
4.136521503963615e-003	5.351980e-003
4.137142313795247e-003	5.579318e-003
4.137783008240692e-003	5.333538e-003
4.138389075341196e-003	4.619375e-003
4.139218841751350e-003	3.021565e-003
4.140077948601622e-003	8.891218e-004
4.140711509726468e-003	-8.778723e-004
4.141365250148319e-003	-2.693600e-003
4.142078251088252e-003	-4.456257e-003
4.142722994013449e-003	-5.694658e-003
4.143357533336720e-003	-6.443775e-003
4.143974305835241e-003	-6.642883e-003
4.144612689810523e-003	-6.266449e-003
4.145249057777088e-003	-5.289354e-003
4.146086085419243e-003	-3.293451e-003
4.146808783386146e-003	-1.121041e-003
4.147415652756969e-003	9.096686e-004
4.148046467064843e-003	3.009650e-003
4.148754817729387e-003	5.129979e-003
4.149401331665566e-003	6.665476e-003
4.150011188632611e-003	7.594643e-003
4.150631642472945e-003	7.919013e-003
4.151271974287212e-003	7.572819e-003
4.151877269730609e-003	6.563038e-003
4.152706720116497e-003	4.299372e-003
4.153565225691871e-003	1.277327e-003
4.154198763214131e-003	-1.229952e-003
4.154852711103143e-003	-3.808959e-003
4.155564533819162e-003	-6.309484e-003
4.156209761501404e-003	-8.073232e-003
4.156842096767394e-003	-9.139358e-003
4.157458625270783e-003	-9.429689e-003
4.158096709444606e-003	-8.905500e-003
4.158730681994387e-003	-7.533850e-003
4.159566943964461e-003	-4.713817e-003
4.160295720682388e-003	-1.610058e-003
4.160903898605473e-003	1.276586e-003
4.161536132902387e-003	4.264437e-003
4.162243096543125e-003	7.269768e-003
4.162890180462600e-003	9.453738e-003
4.163499712895700e-003	1.077532e-002
4.164120037181968e-003	1.123969e-002
4.164760196479512e-003	1.075345e-002
4.165364381732202e-003	9.327805e-003
4.166193500002711e-003	6.122434e-003
4.167051109823570e-003	1.842344e-003
4.167684659295015e-003	-1.715287e-003
4.168338927936397e-003	-5.379556e-003
4.169049171619844e-003	-8.926115e-003
4.169695095072425e-003	-1.144103e-002
4.170324483542140e-003	-1.295933e-002
4.170940930711580e-003	-1.338575e-002
4.171578842065993e-003	-1.265988e-002
4.172209714432138e-003	-1.074046e-002
4.173045065997906e-003	-6.760603e-003
4.173781611367161e-003	-2.318465e-003
4.174391506247513e-003	1.786908e-003
4.175025586859451e-003	6.040980e-003
4.175730854197850e-003	1.029923e-002
4.176378675256886e-003	1.340691e-002
4.176987823803005e-003	1.528713e-002
4.177608146567225e-003	1.595264e-002
4.178248245842519e-003	1.527030e-002
4.178851217794569e-003	1.325841e-002
4.179680017914264e-003	8.720092e-003
4.180536638526185e-003	2.659385e-003
4.181170218591575e-003	-2.388634e-003
4.181824846002035e-003	-7.595286e-003
4.182533405927678e-003	-1.262510e-002
4.183180090247814e-003	-1.621213e-002
4.183806338305600e-003	-1.837447e-002
4.184422796776706e-003	-1.900117e-002
4.185060615309564e-003	-1.799777e-002
4.185688208343085e-003	-1.531406e-002
4.186522634549521e-003	-9.698793e-003
4.187267354986503e-003	-3.339126e-003
4.187879078718268e-003	2.500278e-003
4.188515114100000e-003	8.558115e-003
4.189218659036139e-003	1.459126e-002
4.189867251523822e-003	1.901345e-002
4.190476013520073e-003	2.168820e-002
4.191096396717695e-003	2.264165e-002
4.191736495827159e-003	2.168368e-002
4.192338305836974e-003	1.884373e-002
4.193166820070103e-003	1.241723e-002
4.194022489821355e-003	3.834276e-003
4.194656107755431e-003	-3.328659e-003
4.195311082815874e-003	-1.072649e-002
4.196018047698536e-003	-1.786001e-002
4.196665462056310e-003	-2.297477e-002
4.197288735439201e-003	-2.605333e-002
4.197905251068875e-003	-2.697151e-002
4.198543024940694e-003	-2.558305e-002
4.199167510232390e-003	-2.182792e-002
4.200001079238078e-003	-1.390247e-002
4.200753523887201e-003	-4.802899e-003
4.201366988424098e-003	3.502039e-003
4.202004875399676e-003	1.212673e-002
4.202706844050393e-003	2.067567e-002
4.203356157690319e-003	2.696689e-002
4.203964565796430e-003	3.077084e-002
4.204585030188335e-003	3.213528e-002
4.205225155210082e-003	3.078865e-002
4.205825942967490e-003	2.677719e-002
4.206654211333209e-003	1.767434e-002
4.207509044430693e-003	5.516232e-003
4.208142700637030e-003	-4.648028e-003
4.208797984367365e-003	-1.515775e-002
4.209503551800772e-003	-2.527562e-002
4.210151610435202e-003	-3.256440e-002
4.210772277663961e-003	-3.694525e-002
4.211388867845509e-003	-3.828399e-002
4.212026624906161e-003	-3.635741e-002
4.212648375586628e-003	-3.109426e-002
4.213481198348087e-003	-1.990048e-002
4.214240419895995e-003	-6.894631e-003
4.214855419674086e-003	4.913908e-003
